YEAR,Afghanistan,Akrotiri and Dhekelia,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antarctica,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bailiwick of Guernsey,Bailiwick of Jersey,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Indian Ocean Territory,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Cook Islands,Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,East Timor,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,eSwatini,Ethiopia,Falkland Islands,Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,French Southern and Antarctic Lands,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Heard Island and McDonald Islands,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,Puerto Rico,Qatar,Republic of Congo,Reunion,Romania,Russia,Rwanda,"Saint Helena, Ascension and Tristan da Cunha",Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Saint-Barthelemy,Saint-Martin,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Georgia and the South Sandwich Islands,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,United States Minor Outlying Islands,Uruguay,Uzbekistan,Vanuatu,Vatican City,Venezuela,Vietnam,"Virgin Islands, U.S.",Wallis and Futuna,Yemen,Zambia,Zimbabwe,Total g�n�ral
2007,,,,689,,,16,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,,0,63,,71,,,,,218,842,,,,,,,,,,,,,,385,,0,,,,,0,,0,5,,0,1423,,,,,,,,,0,15,,,11,,,,,,,,66,2,,,,,,,,,,,,,,,5,,,,,963,,,,,,,,0,1,0,,,,22,1,,,18,,,,9,,,,,,,,,,2,0,,0,,,,,,,90,308,,,,,,,,,,,,,,,,,,,,,15,,,,19,,,,,,,,,,,,8,,,2,,,,,,2052,15,,,,,,2157,,,,,,,8,,0,,,,14,,,,,308,,,,,,,,,,,,,,,66,13,9904
2008,,,,465,,,10,,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,14,197,,234,,,,,192,272,,,,,,,,,,,,,,2269,,10,,,,,27,,3,250,,2,639,,,,,,,,,0,0,,,29,,,,,,,,6,5,,,,,,,,,,,,,,,28,,,,,1156,,,,,,,,0,0,40,,,,2,3,,,157,,,,14,,,,,,,,,,0,2,,0,,,,,,,94,973,,,,,,,,,,,,,,,,,,,,,0,,,,9,,,,,,,,,,,,8,,,7,,,,,,2076,45,,,,,,2119,,,,,,,7,,1,,,,4,,,,,174,,,,,,,,,,,,,,,11,126,11681
2009,,,,514,,,5,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,0,72,,19,,,,,260,261,,,,,,,,,,,,,,5128,,4,,,,,17,,3,9,,0,1862,,,,,,,,,0,18,,,21,,,,,,,,169,6,,,,,,,,,,,,,,,4,,,,,185,,,,,,,,4,0,10,,,,144,0,,,74,,,,2,,,,,,,,,,0,4,,0,,,,,,,14,2217,,,,,,,,,,,,,,,,,,,,,100,,,,8,,,,,,,,,,,,18,,,5,,,,,,1137,37,,,,,,2874,,,,,,,9,,2,,,,0,,,,,158,,,,,,,,,,,,,,,16,31,15423
2010,,,,246,,,15,,,,,,,,,,,,,,611,,,,,0,,,,,0,,,,,,1,153,18,6,,,,,412,109,,,,,,,,,,,,,,1458,,3,,,,,70,,7,70,,1,1588,,,,,,,,,0,0,,,6,,,,,,,,32,0,,,,,,,,,,,,,,,96,,,,,219,,,,,0,,,1,12,0,,,,3,0,,,47,,,,26,,,,,,,,,,30,26,268,0,,41,,,,,21,1906,,,,,,,,8128,,,,,,,,,,,,,0,,,,21,,,,,,,,,,,,22,,,0,,,,,,3655,28,,,,,28,1756,,,,,,,21,448,0,,,,2,,,,,289,,,,,,,,,,,12,,,,0,9,21921
2011,,,,306,,,4,,,,,,,,,,,,,,573,,,,,0,,,,,0,,,,,,10,112,34,17,,,,,204,17,,,,,,,,,,,,,,625,,3,,,,,1255,,0,9,,3,655,,,,,,,,,0,0,,,5,,,,,,,,6,1,,,,,,,,,,,,,,,817,,,,,208,,,,,4,,,0,14,5532,,,,0,20,,,57,,,,18,,,,,,,,,,33,4,1433,1,,14,,,,,25,2472,,,,,,,,4535,,,,,,,,,,,,,0,,,,3,,,,,,,,,,,,45,,,2,,,,,,2002,44,,,1865,,24,4041,,,,,,,36,390,1,,,,221,,,,,29,,,,,,,,,,,66,,,,22,11,27828
2012,,,,245,,,6,,,,,,,,,,,,,,470,,,,,0,,,,,0,,,,,,32,31,14,5,,,,,262,3,,,,,,,,,,,,,,1443,,1,,,,,244,,1,0,,2,885,,,,,,,,,0,8,,,20,,,,,,,,19,9,,,,,,,,,,,,,,,118,,,,,514,,,,,11,,,8,0,552,,,,233,0,,,528,,,,3,,,,,,,,,,1,13,995,1,,18,,,,,15,2995,,,,,,,,6115,,,,,,,,,,,,,2,,,,34,,,,,,,,,,,,24,,,3,,,,,,3362,263,,,4110,,37,2276,,,,,,,57,352,0,,,,14,,,,,20,,,,,,,,,,,3,,,,12,14,26403
2013,,,,341,,,6,,,,,,,,,,,,,,810,,,,,0,,,,,0,,,,,,8,18,9,32,,,,,2559,5,,,,,,,,,,,,,,1972,,6,,,,,2479,,0,118,,0,582,,,,,,,,,0,0,,,23,,,,,,,,131,3,,,,,,,,,,,,,,,79,,,,,770,,,,,0,,,0,3,443,,,,180,2,,,908,,,,0,,,,,,,,,,5,144,471,3,,6,,,,,33,4686,,,,,,,,4472,,,,,,,,,,,,,40,,,,8,,,,,,,,,,,,15,,,6,,,,,,3171,109,,,4368,,15,6822,,,,,,,42,432,8,,,,75,,,,,34,,,,,,,,,,,4,,,,13,8,36477
2014,,,,227,,,0,,,,,,,,,,,,,,390,,,,,0,,,,,0,,,,,,36,73,13,1366,,,,,3618,50,,,,,,,,,,,,,,1230,,11,,,,,1347,,0,10,,0,335,,,,,,,,,2,3,,,14,,,,,,,,13,22,,,,,,,,,,,,,,,33,,,,,611,,,,,0,,,1,26,3350,,,,465,11,,,381,,,,1,,,,,,,,,,4,57,501,5,,6,,,,,38,11346,,,,,,,,5415,,,,,,,,,,,,,11,,,,4,,,,,,,,,,,,11,,,2,,,,,,4470,154,,,6447,,6,4165,,,,,,,36,416,0,,,,104,,,,,195,,,,,,,,,,,29,,,,7,7,47075
2015,,,,154,,,23,,,,,,,,,,,,,,502,,,,,3,,,,,0,,,,,,23,1109,6,1439,,,,,525,429,,,,,,,,,,,,,,1791,,27,,,,,2840,,0,3,,3,811,,,,,,,,,0,0,,,32,,,,,,,,34,1,,,,,,,,103,,,,,,,24,,,,,505,,,,,5,,,4,4,3081,,,,192,12,,,434,,,,1,,,,,,,,,,4,48,1287,4,,51,,,,,984,11109,,,,,,,,4493,,,,,,,,,,,,,4,,,,4,,,,,,,,,,,878,1,,,2,,,,,,4136,211,,,3567,,9,3496,,,,,,,35,246,8,,,,161,,,,,29,,,,,,,,,,,3,,,17466,8,19,62383
2016,,,,129,,,115,,,,,,,,,,,4,,,421,,,,,22,,,,,1,,,,,,81,452,3,721,,,,,739,45,,,,,,,,,,,,,,1740,,0,,,,,1721,,0,37,,0,2515,,,,,,,,,7,4,,,42,,,,,,,,4,0,,,,,,,1653,52,264,56032,,,16,,89,,,65,,227,,,0,,9,,219,4,8,3328,,,,177,23,,,320,,,,0,,,,,,,,,,6,105,613,0,,8,,,,,367,4894,,,,,,,0,2211,,164,,,,,4532,,,,,0,78,,,,8,,,,,,,,,,,1215,18,,,7,,,,,,5938,139,,,3686,,4,3904,,,,,,,46,253,5,,,,120,4484,,,,278,,,,,,,,,,,2,,,15648,6,7,120035
2017,36360,,,145,,,67,,,,,,,,,,,17,,,226,,,,,15,,,,,0,,,,,,117,285,2,739,,,,,1832,296,,,,,,,,,,,,,,3211,,0,,,,,1544,,5,1,,0,1355,,,,,,,,,0,6,,,89,,,,,,,,47,0,,,,,,,1397,53,175,31913,,,11,,43,,,35,,740,,,0,,4,,385,4,7,1707,,,,210,19,,,946,,,,2,,,,,,,,,,4,129,1407,2,,19,,,,,240,4941,,,,,,,0,1719,,116,,,,,4356,,,,,0,21,,,,4,,,,,,,,,,,1430,1,,,5,,,,,,6076,117,,,4859,,2,1304,,,,54122,,,280,162,44,,,,27,2658,,,,66,,0,,,,,,,,,3,,,17634,2,9,185769
2018,42991,0,1,66,,,41,0,,0,27,6,0,,,47,0,0,,,268,0,0,,91,31,0,,26,1,2,7370,0,0,,0,303,327,13,1664,,,0,0,1171,259,5,42,,,1501,,,2,0,0,0,0,,3227,,0,0,21,,14,1114,962,4,1,,0,1579,0,,,,,0,,,0,3,3,,23,,10,,0,1,,800,40,0,1,295,,793,,,2119,173,246,5234,,,7,,16,224,0,20,3,459,,4,0,4,0,,32,0,3,1226,,,,142,16,14,,1739,,,0,3,,,9595,,0,,1,2,0,7,212,261,1,,19,,,,356,506,6159,,,0,1,,,0,1223,,403,2,,6,19,2118,,,,123,0,28,,0,121,49,,1,0,,0,0,0,,,,1514,29,5,,10,,0,,,,5752,114,0,0,1716,,26,1054,1,,,30210,0,64,41,117,6,,,243,34,983,25,0,,146,884,0,,,,0,2,,,3047,3,0,,34247,17,27,178360
2019,41419,0,0,22,,,24,0,,0,24,2,0,,,14,0,1,,,391,0,0,,104,37,0,,36,1,0,5756,0,0,,0,2220,305,5,1302,,,0,0,596,567,44,15,,,1428,,,10,3,2,0,1,,3818,,4,1,18,,11,1003,894,1,0,,3,670,0,,,,,0,,,6,2,3,,43,,7,,0,0,,1115,46,1,2,488,,1016,,,1505,202,466,3487,,,11,,46,281,0,25,7,338,,0,0,8,1,,22,5,11,2294,,,,351,27,15,,1873,,,0,3,,,9243,,0,,0,0,0,6,680,1646,2,,48,,,,29,729,5943,,,12,0,,,0,1148,,182,2,,25,32,1731,,,,150,0,2,,1,46,85,,0,0,,0,0,0,,,,1006,4,1,,13,,0,,,,5029,198,0,0,1801,,304,773,7,,,15592,0,66,42,174,9,,,181,30,559,8,0,,162,398,0,,,,3,3,,,3262,1,0,,27858,11,42,153738
2020,30977,0,0,33,,0,74,0,,2,24,27,0,,6,7057,4,0,0,0,279,2,6,0,75,64,0,0,1,0,7,5682,0,0,0,0,2299,330,4,1761,,0,0,0,449,727,26,9,,,1769,2,,9,0,3,0,0,0,6186,1,0,0,10,0,19,626,388,0,1,0,6,4364,0,0,,1,8,0,,,4,3,1,14,69,0,6,0,0,1,,573,146,8,6,717,,727,0,3,1326,134,400,2673,0,0,1,0,151,265,0,11,21,355,,0,1,2,2,0,48,6,2,1562,0,0,0,358,60,2,0,2852,0,,0,4,2,0,8383,,0,0,0,0,0,4,1773,692,0,,37,1,,,28,1126,8488,,,11,0,,1,0,934,,52,4,,18,45,1502,,0,2,118,0,1,0,3,56,63,0,0,0,,2,0,0,,0,0,54,3,0,0,31,0,0,0,0,,3479,182,0,0,2455,0,34,959,1,1,0,8447,0,2,51,101,14,,,162,15,359,1,0,,297,121,2,5,74,,2,4,,0,2557,4,0,,19723,40,21,138379
2021,42425,0,1,25,0,0,150,0,0,0,19,24,0,0,0,33,2,0,0,0,356,0,5,2,67,93,0,0,8,0,1,6355,0,0,0,0,2360,305,2,1566,8,0,0,0,1716,831,20,13,0,0,2115,0,0,4,0,1,0,0,1,6368,0,5,0,3,2,5,264,435,1,0,1,46,8546,0,0,0,1,4,0,0,0,4,1,0,9,51,0,7,0,0,0,0,673,28,0,1,820,0,710,0,0,1020,138,188,2604,0,0,25,1,46,301,0,9,3,484,0,0,0,32,1,0,42,9,7,115,0,0,0,303,44,13,0,1909,0,0,0,1,2,1,8264,0,0,0,0,0,0,47,1830,11666,2,0,10,1,0,1,35,1498,10965,0,0,13,0,0,0,2,1405,0,393,5,241,43,25,1182,0,1,0,180,0,10,0,0,26,31,0,0,0,0,0,0,0,0,0,1,20,24,1,0,2,0,0,0,0,5,3398,329,0,0,3725,4,5,1657,1,0,0,6108,0,20,44,66,4,0,0,186,19,213,0,0,0,500,149,0,5,87,0,0,4,0,0,1710,0,0,0,18366,16,22,158358
2022,4152,0,0,27,0,0,107,0,0,0,16,210,0,7,0,68,0,0,0,,308,0,4,3,48,168,0,0,11,1,4,7745,,0,,0,4234,261,1,1632,0,0,0,0,967,745,22,6,0,,2303,2,,2,0,2,0,1,0,6425,0,7,0,24,2,40,274,285,4,0,0,33,6440,,,0,0,14,0,0,,0,4,0,1,120,0,10,0,,0,0,744,40,12,0,1637,,694,0,0,885,266,718,2116,0,0,31,1,48,387,1,14,226,686,,0,0,68,0,0,43,14,11,159,0,0,0,364,40,4,0,4858,0,,0,6,3,3,7835,,0,0,0,0,0,56,925,23477,3,,15,0,0,0,7,988,10942,,,34,0,,2,,1770,,225,2,254,35,48,927,,0,0,212,0,19,0,0,96,16,,,0,0,0,0,0,,0,5,6,22,0,0,24,0,0,2,0,1,6599,292,,0,3719,0,12,2139,0,0,2,6091,0,71,39,43,78,,,285,1,199,0,,,363,40569,3,0,98,,1,29,1,0,1074,0,,0,6476,12,33,166996
2023,1152,0,1,13,,0,66,0,0,1,7,24,0,0,0,570,0,0,,,328,0,2,4,38,226,0,,15,0,7,8400,,0,0,0,8499,178,0,2145,4,0,0,,618,282,19,9,,,2014,1,,3,0,6,0,0,0,4426,0,17,0,14,0,2807,28,58,0,1,0,32,3750,,0,0,0,5,2,0,,2,2,2,8,177,0,6,0,0,0,0,850,72,5,1,2517,,657,0,0,1197,218,198,1387,0,,1772,0,27,423,0,7,4,1011,,5,0,2,0,0,267,12,9,95,,0,0,513,53,0,0,4329,0,0,0,9,2,0,7267,,1,0,0,1,,38,309,21325,4,,7,0,0,0,13,1146,8708,,,12,0,0,0,0,2309,,22910,7,349,11,82,858,,1,0,198,0,6,0,1,227,8,,,0,0,0,,0,0,0,0,193,48,0,0,32,0,0,0,0,1,9154,315,,0,2943,0,7,17011,2,0,0,6297,0,6,23,57,98,,,333,9,144,1,,,367,39761,0,1,66,,1,3,0,0,783,10,,0,2099,15,40,197229
2024,1362,0,1,35,,0,98,0,0,3,3,4,0,0,0,2,0,0,0,,1907,0,2,0,23,275,0,0,19,2,2,7486,,0,,0,7487,168,0,2246,0,0,0,0,757,561,49,11,,,1756,3,0,15,0,3,0,0,0,5499,0,1,0,13,0,2878,18,21,0,0,0,10,7545,,0,0,0,11,1,0,,1,1,1,17,148,,2,0,,0,0,285,64,9,2,3050,,492,0,0,1204,163,354,1024,0,0,99,0,20,345,0,3,5,784,,0,0,1,0,1,4052,3,6,160,0,0,0,471,50,3,1,4019,0,0,1,7,2,1,8342,,0,0,0,0,,42,674,20008,6,,7,1,19,0,16,1864,9897,,,30,0,0,0,10,3086,,30416,4,324,6,43,651,,1,1,206,,1,0,0,4797,11,,,1,0,0,,0,0,0,0,5,19,3,2,4,0,1,1,0,,5557,283,,0,2317,1,5,16640,0,0,0,7116,0,0,34,50,153,,0,329,3,55,,,,243,73569,1,0,33,,0,2,0,0,563,1,,0,3007,10,18,247617
2025,816,0,0,30,0,0,188,,,1,2,1,1,0,1,6,0,0,0,0,324,,1,0,27,418,0,,33,0,4,6731,,0,,1,4774,202,0,935,0,0,0,0,871,292,12,1,,,2070,2,0,5,0,5,0,1,0,6183,0,,0,23,0,3533,51,9,,,0,2,5449,0,0,0,0,9,0,0,,1,0,0,7,260,,6,0,0,0,0,409,26,0,10,2454,,478,1,0,1042,235,690,518,0,0,47,0,36,247,0,7,4,857,,1,,4,0,3,370,0,20,259,,0,0,252,37,3,0,3542,2,,0,0,0,0,7232,,0,0,0,0,,54,547,13066,1,,81,1,0,0,6,1761,10423,,,,0,0,1,,4539,0,16621,2,118,0,40,460,,0,0,150,6,17,0,0,1768,19,,0,0,,,,0,,0,0,1,6,0,,6,0,,0,0,,8837,140,,0,2779,2,8,16787,0,1,0,7302,0,4,73,78,29,,,158,2,6,0,,,161,65789,0,3,49,,0,5,,,389,0,,,2577,17,6,206970
